"","medal","beer_name","brewery","city","state","category","year"
"1","Gold","Volksbier Vienna","Wibby Brewing","Longmont","CO","American Amber Lager",2020
"2","Silver","Oktoberfest","Founders Brewing Co.","Grand Rapids","MI","American Amber Lager",2020
"3","Bronze","Amber Lager","Skipping Rock Beer Co.","Staunton","VA","American Amber Lager",2020
"4","Gold","Lager at World's End","Epidemic Ales","Concord","CA","American Lager",2020
"5","Silver","Seismic Tremor","Seismic Brewing Co.","Santa Rosa","CA","American Lager",2020
"6","Bronze","Lite Thinking","Pollyanna Brewing Co.","Lemont","IL","American Lager",2020
"7","Gold","Beachscape","Ventura Coast Brewing Co.","Ventura","CA","American Pilsener",2020
"8","Silver","Imagine a World with Beer Cellars Instead of 401ks","Freetail Brewing Co.","San Antonio","TX","American Pilsener",2020
"9","Bronze","Pilsner","Old Town Brewing","Portland","OR","American Pilsener",2020
"10","Gold","Tank 7","Boulevard Brewing Co.","Kansas City","MO","American-Belgo-Style Ale",2020
"11","Silver","Dear You","Ratio Beerworks","Denver","CO","American-Belgo-Style Ale",2020
"12","Gold","Avalon Amber Ale","Bowigens Beer Co.","Casselberry","FL","American-Style Amber/Red Ale",2020
"13","Silver","Justin's Easy Going Amber","Zuni Street Brewing Co.","Denver","CO","American-Style Amber/Red Ale",2020
"14","Bronze","Paulie's Not Irish","Old Town Brewing","Portland","OR","American-Style Amber/Red Ale",2020
"15","Gold","Wookey Jack","Firestone Walker Brewing Co. - The Propagator","Marina del Rey","CA","American-Style Black Ale or American-Style Stout",2020
"16","Gold","Brown Ale","Second Street Brewery","Santa Fe","NM","American-Style Brown Ale",2020
"17","Silver","Wallops Island","Rocket Frog Brewing Co.","Sterling","VA","American-Style Brown Ale",2020
"18","Bronze","All-American Brown","Auburn Alehouse","Auburn","CA","American-Style Brown Ale",2020
"19","Gold","Moonlite","Moontown Brewing Co.","Whitestown","IN","American-Style Cream Ale",2020
"20","Bronze","Let's Talk About Mex","Cannonball Creek Brewing Co.","Golden","CO","American-Style Cream Ale",2020
"21","Gold","Strawberry Zwickelbier","Twin Sisters Brewing Co.","Bellingham","WA","American-Style Fruit Beer",2020
"22","Silver","Everything But The Seeds","1623 Brewing Co.","Eldersburg","MD","American-Style Fruit Beer",2020
"23","Bronze","Berry, Berry, Quite Contrary","Territorial Brewing Co.","Springfield","MI","American-Style Fruit Beer",2020
"24","Gold","IPA","Perry Street Brewing","Spokane","WA","American-Style India Pale Ale",2020
"25","Silver","Updrift India Pale Ale","Pelican Brewing Co. - Tillamook","Tillamook","OR","American-Style India Pale Ale",2020
"26","Gold","Featherweight Pale Ale","Cannonball Creek Brewing Co.","Golden","CO","American-Style Pale Ale",2020
"27","Silver","Somewhere Golden","Institution Ale Co.","Camarillo","CA","American-Style Pale Ale",2020
"28","Bronze","Pantsless","Alarmist Brewing","Chicago","IL","American-Style Pale Ale",2020
"29","Gold","Vice Sans Fruit","Wild Barrel Brewing Co.","San Marcos","CA","American-Style Sour Ale",2020
"30","Silver","Mirage","New Terrain Brewing Co.","Golden","CO","American-Style Sour Ale",2020
"31","Gold","Built For Speed","Grains of Wrath Brewing","Camas","WA","American-Style Strong Pale Ale",2020
"32","Silver","Superpower IPA","Comrade Brewing Co.","Denver","CO","American-Style Strong Pale Ale",2020
"33","Bronze","Mai Tai P.A.","Alvarado Street Brewery & Tasting Room","Salinas","CA","American-Style Strong Pale Ale",2020
"34","Gold","Whoopty Whoop Wheat","Wild Ride Brewing","Redmond","OR","American-Style Wheat Beer",2020
"35","Bronze","10 Barrel TWheat","10 Barrel Brewing Co. - Bend Pub","Bend","OR","American-Style Wheat Beer",2020
"36","Gold","Dubbel or Nothing","Monkless Belgian Ales","Bend","OR","Belgian-Style Abbey Ale",2020
"37","Bronze","Lux Mundi","Save The World Brewing Co.","Marble Falls","TX","Belgian-Style Abbey Ale",2020
"38","Silver","Crazy Train","Fretboard Brewing Co.","Blue Ash","OH","Belgian-Style Ale or French-Style Ale",2020
"39","Gold","Funk Yeah","Beachwood Blendery","Long Beach","CA","Belgian-Style Lambic or Sour Ale",2020
"40","Silver","Peche","Block 15 Brewing Co.","Corvallis","OR","Belgian-Style Lambic or Sour Ale",2020
"41","Bronze","Cerise Morte","Wicked Weed - Funk House","Arden","NC","Belgian-Style Lambic or Sour Ale",2020
"42","Gold","Tangible Passion","Riip Beer Co.","Huntington Beach","CA","Belgian-Style Specialty Ale",2020
"43","Silver","Goin' Stag","Cabin Boys Brewery","Tulsa","OK","Belgian-Style Specialty Ale",2020
"44","Bronze","Orange Diva","StillFire Brewing","Suwanee","GA","Belgian-Style Specialty Ale",2020
"45","Gold","Cosmic Sloth","Pinthouse Pizza - South Lamar","Austin","TX","Belgian-Style Strong Specialty Ale",2020
"46","Bronze","Hell Camino Belgian Quad","Dos Desperados Brewery","San Diego","CA","Belgian-Style Strong Specialty Ale",2020
"47","Gold","White","Allagash Brewing Co.","Portland","ME","Belgian-Style Witbier",2020
"48","Silver","Boeman Belgian White","Ogopogo Brewing","San Gabriel","CA","Belgian-Style Witbier",2020
"49","Bronze","Wolk","Lock 27 Brewing","Centerville","OH","Belgian-Style Witbier",2020
"50","Gold","Chuckanut Maibock","Chuckanut Brewery - North Nut","Bellingham","WA","Bock",2020
"51","Silver","Maibock","NoDa Brewing Co. - NE","Charlotte","NC","Bock",2020
"52","Bronze","Skool House Bock","Moontown Brewing Co.","Whitestown","IN","Bock",2020
"53","Gold","Perle Haggard","Ex Novo Brewing Co.","Portland","OR","Bohemian-Style Pilsener",2020
"54","Silver","Fortune &amp; Glory","Precarious Beer Project - Precarious Beer Hall","Williamsburg","VA","Bohemian-Style Pilsener",2020
"55","Bronze","Tres Tres","Ocean Beach Brewery","San Diego","CA","Bohemian-Style Pilsener",2020
"56","Gold","Bottle Conditioned Day Drinker","Lost Forty Brewing","Little Rock","AR","Brett Beer",2020
